pub_description,frb,survey
The Galactic Position Dependence of Fast Radio Bursts and the Discovery of FRB011025,FRB010125,htru
FRBCAT: The Fast Radio Burst Catalogue,FRB010621,pmsurv
A Bright Millisecond Radio Burst of Extragalactic Origin,FRB010724,pmsurv
FRBCAT: The Fast Radio Burst Catalogue,FRB090625,htru
A fast radio burst with a low dispersion measure,FRB110214,htru
A Population of Fast Radio Bursts at Cosmological Distances,FRB110220,htru
Dense magnetized plasma associated with a fast radio burst,FRB110523,guppi
FRBCAT: The Fast Radio Burst Catalogue,FRB110626,htru
FRBCAT: The Fast Radio Burst Catalogue,FRB110703,htru
FRBCAT: The Fast Radio Burst Catalogue,FRB120127,htru
FRBCAT: The Fast Radio Burst Catalogue,FRB121002,htru
Fast Radio Burst Discovered in the Arecibo Pulsar ALFA Survey,FRB121102,palfa
FRBCAT: The Fast Radio Burst Catalogue,FRB130626,htru
FRBCAT: The Fast Radio Burst Catalogue,FRB130628,htru
FRBCAT: The Fast Radio Burst Catalogue,FRB130729,htru
A Fast Radio Burst in the Direction of the Carina Dwarf Spheroidal Galaxy,FRB131104,htru
A real-time fast radio burst: polarization detection and multiwavelength follow-up,FRB140514,htru
"PALFA SINGLE-PULSE PIPELINE: NEW PULSARS, ROTATING RADIO TRANSIENTS, AND A CANDIDATE FAST RADIO BURST",FRB141113,palfa
A polarized fast radio burst at low Galactic latitude,FRB150215,trns
The host galaxy of a fast radio burst,FRB150418,superb
The SUrvey for Pulsars and Extragalactic Radio Bursts II: New FRB discoveries and their follow-up,FRB150610,superb
The magnetic field and turbulence of the cosmic web measured using a brilliant fast radio burst,FRB150807,party
First detection of FRBs at the frequency 111 MHz at the radio telescope BSA LPI,FRB151018,pushchino 
The SUrvey for Pulsars and Extragalactic Radio Bursts II: New FRB discoveries and their follow-up,FRB151206,superb
The SUrvey for Pulsars and Extragalactic Radio Bursts II: New FRB discoveries and their follow-up,FRB151230,superb
The SUrvey for Pulsars and Extragalactic Radio Bursts II: New FRB discoveries and their follow-up,FRB160102,superb
The first interferometric detection of fast radio bursts,FRB160317,utmost
The first interferometric detection of fast radio bursts,FRB160410,utmost
The first interferometric detection of fast radio bursts,FRB160608,utmost
First detection of FRBs at the frequency 111 MHz at the radio telescope BSA LPI,FRB160920,pushchino 
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB170107,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB170416,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB170428,askap-fly
First detection of FRBs at the frequency 111 MHz at the radio telescope BSA LPI,FRB170606,pushchino 
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB170707,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB170712,askap-fly
FRB microstructure revealed by the real-time detection of FRB170827,FRB170827,utmost
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB170906,askap-fly
FRB170922,FRB170922,utmost
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171003,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171004,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171019,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171020,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171116,askap-fly
Real-time detection of a low-latitude Fast Radio Burst during observations of PSR J1545-4550,FRB171209,ppta
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171213,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB171216,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180110,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180119,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180128.0,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180128.2,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180130,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180131,askap-fly
The dispersion-brightness relation for fast radio bursts from a wide-field survey,FRB180212,askap-fly
Detection of a new fast radio burst during Breakthrough Listen observations,FRB180301,bl-parkes
Real-time detection of an extremely high signal-to-noise ratio fast radio burst during observations of PSR J2124-3358,FRB180309,ppta
A second fast radio burst discovered with Parkes Telescope within 50 hours: FRB180311 in the direction of PSR J2129-5721,FRB180311,ppta
The spectral properties of the bright FRB population,FRB180315,askap-fly
The spectral properties of the bright FRB population,FRB180324,askap-fly
The spectral properties of the bright FRB population,FRB180525,askap-fly
Detection of a Fast Radio Burst at the Molonglo Radio Telescope,FRB180528,utmost
A fast radio burst towards the millisecond pulsar PSR J1744-1134 found during a commensal search by the Parkes Pulsar Timing Array,FRB180714,ppta
First detection of fast radio bursts between 400 and 800 MHz by CHIME/FRB,FRB180725A,chime
Observations of fast radio bursts down to 400 MHz,FRB180725.J0613+67,chime
Observations of fast radio bursts down to 400 MHz,FRB180727.J1311+26,chime
Observations of fast radio bursts down to 400 MHz,FRB180729.J0558+56,chime
Observations of fast radio bursts down to 400 MHz,FRB180729.J1316+55,chime
Observations of fast radio bursts down to 400 MHz,FRB180730.J0353+87,chime
Observations of fast radio bursts down to 400 MHz,FRB180801.J2130+72,chime
Observations of fast radio bursts down to 400 MHz,FRB180806.J1515+75,chime
Observations of fast radio bursts down to 400 MHz,FRB180810.J0646+34,chime
Observations of fast radio bursts down to 400 MHz,FRB180810.J1159+83,chime
Observations of fast radio bursts down to 400 MHz,FRB180812.J0112+80,chime
Observations of fast radio bursts down to 400 MHz,FRB180814.J0422+73,chime
Observations of fast radio bursts down to 400 MHz,FRB180814.J1554+74,chime
Observations of fast radio bursts down to 400 MHz,FRB180817.J1533+42,chime
Discovery of FRB 180923 at the Parkes Radio Telescope,FRB180923,superb
Two new FRBs discovered by UTMOST,FRB181016,utmost
Two new FRBs discovered by UTMOST,FRB181017,utmost
Detection of FRB181228 at the Molonglo Radio Telescope,FRB181228,utmost
